ID,Title,Work Item Type,State,Effort,Value Area,Iteration Path,Tags
3,Tema 2 - Evaluación y categorización de estudiantes,Epic,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
9,Épica 2.1 - Evaluación de conocimientos,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
212,HU 2.1.1 Desarrollo de evaluación,Product Backlog Item,New,5,Business,Trabajo de Grado - Tutor inteligente\Sprint 4,MVP
213,Definir estructura de evaluación,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
214,Presentar evaluación al estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
215,Registrar respuestas en base de datos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
216,Evaluar respuestas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
218,HU 2.1.2 Evaluación de un tema especifico,Product Backlog Item,Approved,5,Business,Trabajo de Grado - Tutor inteligente\Sprint 3,MVP
219,Definir estructura de evaluación por recurso recomendado,Task,Done,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
220,Presentar evaluación de seguimiento,Task,In Progress,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
221,Registrar respuestas,Task,Done,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
222,Evaluar respuestas,Task,Done,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
223,Comparar nivel de conocimiento actual vs inmediatamente anterior.,Task,In Progress,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
224,HU 2.1.3 Creación de rubricas,Product Backlog Item,Approved,5,Business,Trabajo de Grado - Tutor inteligente\Sprint 3,MVP
225,Implementar CRUD para evaluaciones tecnicas,Task,In Progress,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
226,Validar acceso solo para rol docente,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
227,Persistir en base de datos,Task,In Progress,,,Trabajo de Grado - Tutor inteligente\Sprint 3,
10,Épica 2.2 - Asignación de categorías,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
228,HU 2.2.1 Asignación de categoría,Product Backlog Item,New,5,Business,Trabajo de Grado - Tutor inteligente\Sprint 4,MVP
229,"Definir categorías de asignación (principiante, básico, intermedio, avanzado)",Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
230,Perparar datos de entrada para el modelo de aprendizaje supervisado,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
231,Ejecutar modelo de categorización,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
232,Asignar categoría a estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
233,Persistir en base de datos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
234,Notificar al usuario resultados de clasificación,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
235,HU 2.2.2 Identificación de debilidades,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 4,
236,Definir objetivos por categoría,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
237,Asociar objetivos a categorías,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
238,Permitir consulta de objetivos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
239,Mostrar objetivos al estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
240,Actualizar objetivos cuando sea necesario,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 4,
241,HU 2.2.3 Reportes por categoría,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 5,
242,Consolidar datos por categoría,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 5,
245,Generar métricas por categoría,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 5,
243,Identificar áreas de mejora,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 5,
244,Visualizar resultados en dashboard,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 5,
4,Tema 3 - Personalización de recursos por categoría,Epic,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
12,Épica 3.1 - Administración de recursos educativos,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
246,HU 3.1.1 Registro de contenido acádemico,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 6,
247,Definir estructura de recursos educativos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
248,Asociar recursos a categorías,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
249,Validar calidad de los recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
250,Actualizar información de recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
251,HU 3.1.2 Ruta de aprendizaje,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 6,
252,Identificar debilidades del estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
253,Asociar recursos a debilidades,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
254,Generar lista de recursos personalizados,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
255,Mostrar recursos al estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
256,Actualizar recomendaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
257,HU 3.1.3 Actualizar recursos acádemicos,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 6,
258,Gestionar edición de recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
259,Validar cambios en recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
260,Mantener historial de actualizaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
261,Desactivar recursos obsoletos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
262,HU 3.1.4 Reportes de contenido acádemico,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 6,
263,Consolidar calificaciones de recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
264,Identificar recursos con baja valoración,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
265,Generar métricas de calidad,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
266,Visualizar resultados,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
267,Priorizar recursos a mejorar,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
13,Épica 3.2 - Gestión de rutas de aprendizaje,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
268,HU 3.2.1 Actualizar rutas de aprendizaje,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
269,Definir estructura de rutas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
270,Asociar recursos a rutas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
